,participant_id,Condition,Trial_number,Error,Block
391,13,Gradual,27,0.36441300365274903,0
392,0,Sudden,28,1.7463352574345328,0
393,1,Gradual,28,2.1753773356784363,0
394,2,Sudden,28,,0
395,3,Gradual,28,0.17247272105081843,0
396,4,Sudden,28,0.6333092291658937,0
397,5,Gradual,28,0.2748206693288323,0
398,6,Sudden,28,0.26348410393495414,0
399,7,Gradual,28,0.1856975844580145,0
400,8,Sudden,28,0.24366451140442819,0
401,9,Gradual,28,0.1715499130123716,0
402,10,Sudden,28,0.4817687264511211,0
403,11,Gradual,28,0.61389434720821,0
404,12,Sudden,28,0.281327832940212,0
405,13,Gradual,28,0.459753307853653,0
406,0,Sudden,29,1.5156329721853203,0
407,1,Gradual,29,2.130256389121979,0
408,2,Sudden,29,,0
409,3,Gradual,29,0.1908818067828556,0
410,4,Sudden,29,0.6217573577607254,0
411,5,Gradual,29,0.26189014720089465,0
412,6,Sudden,29,0.2423780653123631,0
413,7,Gradual,29,0.18300508899515727,0
414,8,Sudden,29,0.2350386152707607,0
415,9,Gradual,29,0.19869961862177118,0
416,10,Sudden,29,0.4283743034554669,0
417,11,Gradual,29,0.5777523917040681,0
418,12,Sudden,29,0.2624169804116152,0
419,13,Gradual,29,0.5576061324245793,0
420,0,Sudden,30,1.3232334399350485,0
421,1,Gradual,30,2.0851354425655213,0
422,2,Sudden,30,,0
423,3,Gradual,30,0.21240980706384283,0
424,4,Sudden,30,0.5573582874260798,0
425,5,Gradual,30,0.2408085373893803,0
426,6,Sudden,30,0.22719857525089543,0
427,7,Gradual,30,0.1751142947779788,0
428,8,Sudden,30,0.22055605292383165,0
429,9,Gradual,30,0.22650619631975,0
430,10,Sudden,30,0.37284299401804233,0
431,11,Gradual,30,0.5331337716977441,0
432,12,Sudden,30,0.2523090220047522,0
433,13,Gradual,30,0.6107976025165133,0
434,0,Sudden,31,1.1862456137103878,0
435,1,Gradual,31,2.0400144960090634,0
436,2,Sudden,31,,0
437,3,Gradual,31,0.2286109777585394,0
438,4,Sudden,31,0.4740717905727045,0
439,5,Gradual,31,0.21921789448483803,0
440,6,Sudden,31,0.22470687943746032,0
441,7,Gradual,31,0.16538608956724715,0
442,8,Sudden,31,0.20739162735588879,0
443,9,Gradual,31,0.2437820849139486,0
444,10,Sudden,31,0.3399921690328137,0
445,11,Gradual,31,0.49020129833357934,0
446,12,Sudden,31,0.2512400582261743,0
447,13,Gradual,31,0.5962705552426085,0
448,0,Sudden,32,1.0963498992757374,0
449,1,Gradual,32,1.9948935494526057,0
450,2,Sudden,32,,0
451,3,Gradual,32,0.236306685646751,0
452,4,Sudden,32,0.4065640133565238,0
453,5,Gradual,32,0.20710258486602273,0
454,6,Sudden,32,0.23320524192581674,0
455,7,Gradual,32,0.16413251565628012,0
456,8,Sudden,32,0.20178471639541057,0
457,9,Gradual,32,0.24491639828267958,0
458,10,Sudden,32,0.3352928458799571,0
459,11,Gradual,32,0.46201001161144273,0
460,12,Sudden,32,0.24988495928312798,0
461,13,Gradual,32,0.5361579151058551,0
462,0,Sudden,33,1.034585323315933,0
463,1,Gradual,33,1.949772602896148,0
464,2,Sudden,33,,0
465,3,Gradual,33,0.2398167063137185,0
466,4,Sudden,33,0.3725676314524068,0
467,5,Gradual,33,0.20906368318697066,0
468,6,Sudden,33,0.24448298150720277,0
469,7,Gradual,33,0.17795601343152112,0
470,8,Sudden,33,0.20328809883005336,0
471,9,Gradual,33,0.235742030428102,0
472,10,Sudden,33,0.34564139671822597,0
473,11,Gradual,33,0.45406623572166216,0
474,12,Sudden,33,0.23896461756130954,0
475,13,Gradual,33,0.4724126206243807,0
476,0,Sudden,34,0.9852869919508056,0
477,1,Gradual,34,1.90465165633969,0
478,2,Sudden,34,,0
479,3,Gradual,34,0.2458847521894891,0
480,4,Sudden,34,0.3720398779848527,0
481,5,Gradual,34,0.22193783612568269,0
482,6,Sudden,34,0.25231623911048195,0
483,7,Gradual,34,0.20363769821603472,0
484,8,Sudden,34,0.206016772775505,0
485,9,Gradual,34,0.22443844279879746,0
486,10,Sudden,34,0.35487880081282275,0
487,11,Gradual,34,0.46054758828445463,0
488,12,Sudden,34,0.21969400822992494,0
489,13,Gradual,34,0.4294516539066748,0
490,0,Sudden,35,0.9401814622956788,0
491,1,Gradual,35,1.8595307097832325,0
492,2,Sudden,35,,0
493,3,Gradual,35,0.2581970847095141,0
494,4,Sudden,35,0.3934854971198039,0
495,5,Gradual,35,0.2383795574345905,0
496,6,Sudden,35,0.2565519015991187,0
497,7,Gradual,35,0.23107737787795046,0
498,8,Sudden,35,0.20555145064863656,0
499,9,Gradual,35,0.21152509602738934,0
500,10,Sudden,35,0.35594883501405045,0
501,11,Gradual,35,0.46980641112983573,0
502,12,Sudden,35,0.20226959767936942,0
503,13,Gradual,35,0.4076275404818773,0
504,0,Sudden,36,0.8961583681254972,0
505,1,Gradual,36,1.8144097632267742,0
506,2,Sudden,36,,0
507,3,Gradual,36,0.27546336117287806,0
508,4,Sudden,36,0.4260588853235935,0
509,5,Gradual,36,0.24973861156700977,0
510,6,Sudden,36,0.25925246113104194,0
511,7,Gradual,36,0.24927114193292146,0
512,8,Sudden,36,0.20287584074503187,0
513,9,Gradual,36,0.19464255233738248,0
514,10,Sudden,36,0.3483438161212892,0
515,11,Gradual,36,0.4743549105084309,0
516,12,Sudden,36,0.19511092677589445,0
517,13,Gradual,36,0.3986308517117094,0
518,0,Sudden,37,0.8523551959033053,0
519,1,Gradual,37,1.7692888166703167,0
520,2,Sudden,37,,0
521,3,Gradual,37,0.29282132660450183,0
522,4,Sudden,37,0.47118657140340825,0
523,5,Gradual,37,0.24989607117367235,0
524,6,Sudden,37,0.260034725881774,0
525,7,Gradual,37,0.2512926701652557,0
526,8,Sudden,37,0.2022520248195045,0
527,9,Gradual,37,0.1794825130084155,0
528,10,Sudden,37,0.33085916028181134,0
529,11,Gradual,37,0.47608447444140956,0
530,12,Sudden,37,0.2000980022589418,0
531,13,Gradual,37,0.39485627015361024,0
532,0,Sudden,38,0.808585749804156,0
533,1,Gradual,38,1.7241678701138587,0
534,2,Sudden,38,,0
535,3,Gradual,38,0.3051067693798032,0
536,4,Sudden,38,0.5398658350984862,0
537,5,Gradual,38,0.24281995428935768,0
538,6,Sudden,38,0.25649506409812517,0
539,7,Gradual,38,0.23769820587017348,0
540,8,Sudden,38,0.20715942349416439,0
541,9,Gradual,38,0.17793512156628896,0
542,10,Sudden,38,0.30309720776160637,0
543,11,Gradual,38,0.4818966952363981,0
544,12,Sudden,38,0.21675579817679685,0
545,13,Gradual,38,0.39078786490745226,0
546,0,Sudden,39,0.7648163037050066,0
547,1,Gradual,39,1.6790469235574008,0
548,2,Sudden,39,,0
549,3,Gradual,39,0.3091016687798965,0
550,4,Sudden,39,0.6325750602841522,0
551,5,Gradual,39,0.24265226244668836,0
552,6,Sudden,39,0.24780052385852536,0
553,7,Gradual,39,0.21656818603052533,0
554,8,Sudden,39,0.2176876544357658,0
555,9,Gradual,39,0.1949813381654744,0
556,10,Sudden,39,0.27087239518048595,0
557,11,Gradual,39,0.49585143686063704,0
558,12,Sudden,39,0.2433565512936404,0
559,13,Gradual,39,0.3856505829372937,0
560,0,Sudden,40,0.7210468576058575,0
561,1,Gradual,40,1.6339259770009433,0
562,2,Sudden,40,,0
563,3,Gradual,40,0.3037545995023472,0
564,4,Sudden,40,0.7214825532574869,0
565,5,Gradual,40,0.2599497226151172,0
566,6,Sudden,40,0.23617543211017053,0
567,7,Gradual,40,0.19910416422830557,0
568,8,Sudden,40,0.22992633593581108,0
569,9,Gradual,40,0.222779253949221,0
570,10,Sudden,40,0.24285075576286336,0
571,11,Gradual,40,0.5155074352059904,0
572,12,Sudden,40,0.2735810535957212,0
573,13,Gradual,40,0.38377846391843656,0
574,0,Sudden,41,0.6772834689514343,0
575,1,Gradual,41,1.5888050304444856,0
576,2,Sudden,41,,0
577,3,Gradual,41,0.2900274753230633,0
578,4,Sudden,41,0.7618207294481778,0
579,5,Gradual,41,0.2904053002737871,0
580,6,Sudden,41,0.2243845487141899,0
581,7,Gradual,41,0.19202099192585653,0
582,8,Sudden,41,0.2375689763446439,0
583,9,Gradual,41,0.24779672277762477,0
584,10,Sudden,41,0.22225751819279038,0
585,11,Gradual,41,0.5332709890477036,0
586,12,Sudden,41,0.2981394137200444,0
587,13,Gradual,41,0.38758692629289393,0
588,0,Sudden,42,0.6335595797984022,0
589,1,Gradual,42,1.5436840838880275,0
590,2,Sudden,42,,0
591,3,Gradual,42,0.2704774902091869,0
592,4,Sudden,42,0.7289239070661607,0
593,5,Gradual,42,0.3206135887925242,0
594,6,Sudden,42,0.21282291698470382,0
595,7,Gradual,42,0.1920422526123311,0
596,8,Sudden,42,0.23564726955444276,0
597,9,Gradual,42,0.25891896634661493,0
598,10,Sudden,42,0.20743884514788033,0
599,11,Gradual,42,0.5407120551604988,0
600,12,Sudden,42,0.3111817411251592,0
601,13,Gradual,42,0.39178653309093076,0
602,0,Sudden,43,0.5900362856651926,0
603,1,Gradual,43,1.49856313733157,0
604,2,Sudden,43,,0
605,3,Gradual,43,0.24801607038009904,0
606,4,Sudden,43,0.6404868821330394,0
607,5,Gradual,43,0.3400163008813448,0
608,6,Sudden,43,0.2004250592914703,0
609,7,Gradual,43,0.18955872273685398,0
610,8,Sudden,43,0.22425427267027062,0
611,9,Gradual,43,0.24949202587606578,0
612,10,Sudden,43,0.199796480267148,0
613,11,Gradual,43,0.5339221194473323,0
614,12,Sudden,43,0.31337692227509134,0
615,13,Gradual,43,0.3882239451369149,0
616,0,Sudden,44,0.5473063602256174,0
617,1,Gradual,44,1.4534421907751123,0
618,2,Sudden,44,,0
619,3,Gradual,44,0.22508056629490414,0
620,4,Sudden,44,0.5389756485937168,0
621,5,Gradual,44,0.3437220825802222,0
622,6,Sudden,44,0.18783275223470242,0
623,7,Gradual,44,0.17958456609029738,0
624,8,Sudden,44,0.20909188334093265,0
625,9,Gradual,44,0.2190317522186302,0
626,10,Sudden,44,0.20377316424312744,0
627,11,Gradual,44,0.5167538705041189,0
628,12,Sudden,44,0.3106564795173751,0
629,13,Gradual,44,0.3764250019922157,0
630,0,Sudden,45,0.5070201824035789,0
631,1,Gradual,45,1.4083212442186541,0
632,2,Sudden,45,,0
633,3,Gradual,45,0.20419343364009251,0
634,4,Sudden,45,0.4583030395922451,0
635,5,Gradual,45,0.33081772310945246,0
636,6,Sudden,45,0.17869937823608084,0
637,7,Gradual,45,0.1677592467501583,0
638,8,Sudden,45,0.19757783997114095,0
639,9,Gradual,45,0.17612824996892246,0
640,10,Sudden,45,0.2176094560897959,0
641,11,Gradual,45,0.4989519716242961,0
642,12,Sudden,45,0.31122512146591974,0
643,13,Gradual,45,0.365428617023859,0
644,0,Sudden,46,0.47259625036594033,0
645,1,Gradual,46,1.3632002976621966,0
646,2,Sudden,46,,0
647,3,Gradual,46,0.1885258075273865,0
648,4,Sudden,46,0.40863874315661386,0
649,5,Gradual,46,0.3074778037053985,0
650,6,Sudden,46,0.17789275018759493,0
651,7,Gradual,46,0.16485191422723494,0
652,8,Sudden,46,0.1936496680381105,0
653,9,Gradual,46,0.13529386593221066,0
654,10,Sudden,46,0.2314463847133824,0
655,11,Gradual,46,0.49073887055459675,0
656,12,Sudden,46,0.32042496006692717,0
657,13,Gradual,46,0.36442702553808626,0
658,0,Sudden,47,0.44912443531648083,0
659,1,Gradual,47,1.318079351105739,0
660,2,Sudden,47,,0
661,3,Gradual,47,0.18021913918434235,0
662,4,Sudden,47,0.38276525323261223,0
663,5,Gradual,47,0.28824641644098126,0
664,6,Sudden,47,0.1868505089294214,0
